CaseNo,AwardOrg,AwardOrgVal,ImageYr,AwardDiv,AwardDivVal,PhotographerGen,PhotographerGenVal,PhotographerRace,PhotographerRaceVal,PhotographerPoC,PhotographerPoCVal,PhotographerNat,PhotographerNatVal,AssStat,AssStatVal,SubGen,SubGenVal,SubRace,SubRaceVal,SubNat,SubNatVal,SubLoc,SubLocVal,ShotAngle,ShotAngleVal,ShotType,ShotTypeVal,ImageClr,ImageClrVal,ImageOrient,ImageOrientVal,PresDeath,PresDeathVal,PresDis,PresDisVal,PresPolit,PresPolitVal,PresWar,PresWarVal,PresPov,PresPovVal,PresIll,PresIllVal,PresNud,PresNudVal,PresChil,PresChilVal,PresIncar,PresIncarVal,PresRefu,PresRefuVal,PresViol,PresViolVal,PresPolice,PresPoliceVal,PresMil,PresMilVal,Affect,AffectVal
1,POYi,1,2001,General News [POYi or WPP],3,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Male],3,Black,2,Caribbean,7,Caribbean,7,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
2,POYi,1,2002,Issues [Newspaper] POYi,4,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Female],4,White,1,North America,1,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
3,POYi,1,2002,Issues [Magazine] POYi,5,Male,1,White,1,No,2,North America,1,Freelance,2,Unclear,0,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Wide,3,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
4,POYi,1,2003,General News [Newspaper] POYi,2,Male,1,Middle Eastern OR Arab,7,Yes,1,Unclear,0,Assigned/Staff,1,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Low Angle,2,Medium,1,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,4 - Somewhat unpleasant,4
5,POYi,1,2003,General News [Magazine] POYi,1,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [All Male],3,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,Straight On,3,Wide,3,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Partial Nudity,2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,2 - Somewhat pleasant,2
6,POYi,1,2004,General News [Newspaper] POYi,2,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Low Angle,2,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,1 - Very pleasant,1
7,POYi,1,2004,General News [Magazine] POYi,1,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Female],4,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
8,POYi,1,2005,General News [Newspaper] POYi,2,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Single Subject [Male],1,White,1,North America,1,Middle East [inc. Palestine],3,Straight On,3,Medium,1,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
9,POYi,1,2005,General News [Magazine] POYi,1,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Black,2,Africa,6,Africa,6,Straight On,3,Wide,3,Black and White,1,Vertical,2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
10,POYi,1,2006,General News [Newspaper] POYi,2,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Low Angle,2,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
